Year,borough,geography,geography_id,Number,"Rate (per 1,000 tested)",Num. children < 6 w/ blood lead levels >= 5 mcg/dL (number),Perc. children < 6 w/blood lead levels >= 5 mcg/dL (percent),Num. children < 6 w/blood lead levels >= 10 mcg/dL (number),"Rate children < 6 w/blood lead levels >= 10 mcg/dL (per 1,000 tested)",
2014,Manhattan, Upper West Side,304,-,-,54 ,1.2 ,**,0.9* ,
2005,Manhattan, Washington Heights,301,1089 ,101.6 ,-,-,-,-,
2006,Manhattan, Washington Heights,301,1115 ,99.9 ,-,-,-,-,
2007,Manhattan, Washington Heights,301,948 ,85.2 ,-,-,-,-,
2008,Manhattan, Washington Heights,301,625 ,56.0 ,-,-,-,-,
2009,Manhattan, Washington Heights,301,342 ,31.5 ,-,-,-,-,
2010,Manhattan, Washington Heights,301,297 ,27.1 ,-,-,-,-,
2011,Manhattan, Washington Heights,301,269 ,24.1 ,-,-,-,-,
2012,Manhattan, Washington Heights,301,179 ,16.9 ,-,-,-,-,
2014,Manhattan, Washington Heights,301,-,-,144 ,1.5 ,22 ,2.3 ,
2005,Queens, West Queens,402,2267 ,117.5 ,-,-,-,-,
2006,Queens, West Queens,402,2336 ,110.0 ,-,-,-,-,
2007,Queens, West Queens,402,1785 ,84.3 ,-,-,-,-,
2008,Queens, West Queens,402,1448 ,62.6 ,-,-,-,-,
2009,Queens, West Queens,402,1035 ,44.4 ,-,-,-,-,
2010,Queens, West Queens,402,994 ,42.8 ,-,-,-,-,
2011,Queens, West Queens,402,764 ,32.6 ,-,-,-,-,
2012,Queens, West Queens,402,529 ,22.6 ,-,-,-,-,
2014,Queens, West Queens,402,-,-,473 ,2.1 ,74 ,3.3 ,
2005,Brooklyn, Williamsburg - Bushwick,211,2072 ,178.3 ,-,-,-,-,
2006,Brooklyn, Williamsburg - Bushwick,211,1836 ,158.4 ,-,-,-,-,
2007,Brooklyn, Williamsburg - Bushwick,211,1432 ,125.8 ,-,-,-,-,
2008,Brooklyn, Williamsburg - Bushwick,211,925 ,79.4 ,-,-,-,-,
2009,Brooklyn, Williamsburg - Bushwick,211,765 ,64.5 ,-,-,-,-,
2010,Brooklyn, Williamsburg - Bushwick,211,701 ,57.7 ,-,-,-,-,
2011,Brooklyn, Williamsburg - Bushwick,211,530 ,44.0 ,-,-,-,-,
2012,Brooklyn, Williamsburg - Bushwick,211,417 ,37.2 ,-,-,-,-,
2014,Brooklyn, Williamsburg - Bushwick,211,-,-,271 ,2.7 ,40 ,4.0 ,
2005,Staten Island, Willowbrook,503,108 ,44.6 ,-,-,-,-,
2006,Staten Island, Willowbrook,503,96 ,39.3 ,-,-,-,-,
2007,Staten Island, Willowbrook,503,88 ,33.5 ,-,-,-,-,
2008,Staten Island, Willowbrook,503,55 ,20.9 ,-,-,-,-,
2009,Staten Island, Willowbrook,503,65 ,25.1 ,-,-,-,-,
2010,Staten Island, Willowbrook,503,37 ,14.1 ,-,-,-,-,
2011,Staten Island, Willowbrook,503,37 ,14.6 ,-,-,-,-,
2012,Staten Island, Willowbrook,503,27 ,11.2 ,-,-,-,-,
2014,Staten Island, Willowbrook,503,-,-,16 ,0.7 ,,0.9
